iter	Passed	Remaining
415	2918	4096
416	2926	4090
417	2932	4082
418	2939	4076
419	2946	4068
420	2953	4062
421	2960	4055
422	2967	4047
423	2975	4041
424	2981	4033
425	2988	4026
426	2995	4019
427	3002	4012
428	3011	4007
429	3017	4000
430	3024	3993
431	3032	3986
432	3039	3979
433	3046	3973
434	3053	3965
435	3060	3959
436	3067	3951
437	3074	3945
438	3080	3936
439	3087	3929
440	3094	3922
441	3101	3914
442	3108	3908
443	3115	3901
444	3123	3895
445	3131	3889
446	3140	3885
447	3148	3879
448	3159	3876
449	3170	3875
450	3181	3872
451	3191	3869
452	3201	3865
453	3214	3865
454	3224	3861
455	3230	3854
456	3240	3850
457	3248	3843
458	3257	3839
459	3265	3833
460	3275	3829
461	3283	3823
462	3291	3817
463	3298	3810
464	3306	3803
465	3313	3796
466	3320	3789
467	3326	3781
468	3334	3774
469	3341	3768
470	3348	3760
471	3355	3753
472	3362	3746
473	3370	3740
474	3378	3734
475	3387	3728
476	3394	3721
477	3401	3714
478	3408	3707
479	3416	3701
480	3423	3694
481	3429	3686
482	3436	3678
483	3444	3672
484	3451	3665
485	3464	3663
486	3476	3662
487	3489	3660
488	3500	3657
489	3511	3654
490	3520	3649
491	3529	3643
492	3538	3638
493	3545	3631
494	3554	3626
495	3568	3626
496	3578	3621
497	3586	3615
498	3594	3608
499	3603	3603
500	3611	3597
501	3619	3590
502	3628	3585
503	3637	3580
504	3649	3577
505	3658	3572
506	3668	3567
507	3675	3560
508	3684	3554
509	3692	3547
510	3700	3540
511	3707	3533
512	3715	3527
513	3723	3520
514	3731	3514
515	3742	3510
516	3752	3505
517	3759	3497
518	3766	3490
519	3773	3483
520	3782	3477
521	3790	3470
522	3798	3464
523	3804	3456
524	3811	3448
525	3819	3441
526	3827	3434
527	3835	3429
528	3844	3422
529	3852	3416
530	3859	3408
531	3867	3401
532	3873	3393
533	3879	3385
534	3886	3377
535	3891	3369
536	3898	3361
537	3905	3353
538	3911	3345
539	3920	3339
540	3926	3331
541	3934	3324
542	3940	3316
543	3946	3308
544	3953	3300
545	3960	3292
546	3966	3285
547	3972	3276
548	3979	3269
549	3986	3261
550	3993	3253
551	4000	3246
552	4006	3238
553	4013	3231
554	4019	3223
555	4025	3214
556	4032	3207
557	4040	3200
558	4046	3192
559	4053	3184
560	4059	3176
561	4067	3169
562	4075	3163
563	4082	3155
564	4088	3147
565	4095	3140
566	4101	3132
567	4107	3123
568	4114	3116
569	4120	3108
570	4126	3100
571	4133	3093
572	4140	3085
573	4147	3077
574	4153	3069
575	4159	3062
576	4166	3054
577	4173	3047
578	4179	3039
579	4185	3031
580	4192	3023
581	4199	3015
582	4205	3008
583	4212	3000
584	4219	2993
585	4225	2985
586	4232	2977
587	4238	2970
588	4246	2963
589	4252	2955
590	4259	2947
591	4266	2940
592	4273	2932
593	4279	2925
594	4285	2916
595	4291	2909
596	4298	2901
597	4305	2894
598	4311	2886
599	4318	2878
600	4324	2871
601	4331	2863
602	4337	2855
603	4344	2848
604	4351	2841
605	4358	2834
606	4365	2826
607	4372	2818
608	4378	2811
609	4384	2803
610	4391	2795
611	4397	2788
612	4403	2780
613	4411	2773
614	4418	2766
615	4426	2759
616	4433	2752
617	4441	2745
618	4451	2739
619	4461	2734
620	4477	2732
621	4493	2730
622	4502	2724
623	4511	2718
624	4518	2711
625	4526	2704
626	4533	2696
627	4540	2689
628	4548	2682
629	4555	2675
630	4565	2669
631	4575	2664
632	4585	2658
633	4595	2653
634	4604	2646
635	4613	2640
636	4620	2632
637	4626	2625
638	4633	2617
639	4640	2610
640	4647	2602
641	4653	2595
642	4660	2587
643	4667	2580
644	4675	2573
645	4682	2565
646	4689	2558
647	4695	2550
648	4702	2543
649	4709	2535
650	4715	2528
651	4722	2520
652	4728	2512
653	4734	2505
654	4742	2497
655	4748	2490
656	4755	2482
657	4762	2475
658	4768	2467
659	4775	2460
660	4782	2452
661	4788	2445
662	4795	2437
663	4801	2429
664	4808	2422
665	4814	2414
666	4821	2407
667	4828	2399
668	4834	2392
669	4842	2384
670	4848	2377
671	4854	2369
672	4861	2362
673	4868	2354
674	4875	2347
675	4883	2340
676	4890	2333
677	4897	2325
678	4903	2318
679	4909	2310
680	4916	2302
681	4922	2295
682	4929	2287
683	4936	2280
684	4943	2273
685	4951	2266
686	4957	2258
687	4964	2251
688	4970	2243
689	4978	2236
690	4985	2229
691	4992	2221
692	4998	2214
693	5005	2206
694	5011	2199
695	5018	2191
696	5025	2184
697	5031	2176
698	5038	2169
699	5045	2162
700	5051	2154
701	5058	2147
702	5064	2139
703	5071	2132
704	5078	2124
705	5086	2118
706	5092	2110
707	5098	2102
708	5105	2095
709	5111	2087
710	5118	2080
711	5125	2073
712	5131	2065
713	5138	2058
714	5145	2050
715	5151	2043
716	5158	2036
717	5164	2028
718	5170	2020
719	5177	2013
720	5184	2006
721	5191	1998
722	5198	1991
723	5205	1984
724	5211	1976
725	5217	1969
726	5224	1961
727	5230	1954
728	5237	1946
729	5244	1939
730	5250	1932
731	5257	1924
732	5263	1917
733	5269	1909
734	5276	1902
735	5282	1894
736	5320	1898
737	5332	1893
738	5340	1886
739	5348	1879
740	5354	1871
741	5361	1864
742	5367	1856
743	5374	1849
744	5381	1841
745	5387	1834
746	5394	1827
747	5401	1819
748	5407	1812
749	5414	1804
750	5421	1797
751	5427	1789
752	5434	1782
753	5441	1775
754	5447	1767
755	5454	1760
